Partida,Tiempo,Cantidad_palabras_a_adivinar,Nombre_del_evento,Nick,Genero,Edad,Estado,Palabra,Nivel
21,1624480429.6994848,6,intento,akira,Mujer,22,ok,We Rent Tsukumogami,1
21,1624480430.8715045,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
21,1624480432.5426042,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
21,1624480434.1629047,6,intento,akira,Mujer,22,ok,Lord Marksman and Vanadis,1
21,1624480435.4955382,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
21,1624480437.132864,6,intento,akira,Mujer,22,error,The Royal Tutor,1
21,1624480438.7748163,6,intento,akira,Mujer,22,ok,Samurai Pizza Cats,1
21,1624480439.973739,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
21,1624480441.5725038,6,intento,akira,Mujer,22,ok,Battle Girls - Time Paradox,1
21,1624480442.4141045,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
21,1624480443.10428,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
21,1624480443.4054034,6,fin,akira,Mujer,22,finalizada,,1
22,1624480445.0253768,6,inicio_partida,akira,Mujer,22,,,1
22,1624480445.931173,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
22,1624480447.7989118,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
22,1624480449.8710673,6,intento,akira,Mujer,22,error,The Royal Tutor,1
22,1624480451.7331944,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
22,1624480453.3486536,6,intento,akira,Mujer,22,ok,Samurai Pizza Cats,1
22,1624480454.9612238,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
22,1624480456.7573445,6,intento,akira,Mujer,22,error,Sengoku Collection (Parallel World Samurai),1
22,1624480458.4319983,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
22,1624480460.1703584,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
22,1624480461.9058824,6,intento,akira,Mujer,22,ok,Battle Girls - Time Paradox,1
22,1624480463.6866407,6,intento,akira,Mujer,22,error,The Royal Tutor,1
22,1624480465.3481631,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
22,1624480467.0695748,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
22,1624480468.6308227,6,intento,akira,Mujer,22,ok,Lord Marksman and Vanadis,1
22,1624480469.7046103,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
22,1624480471.3468552,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
22,1624480472.1288052,6,intento,akira,Mujer,22,ok,We Rent Tsukumogami,1
22,1624480472.4307275,6,fin,akira,Mujer,22,finalizada,,1
23,1624480476.8647413,6,inicio_partida,akira,Mujer,22,,,1
23,1624480477.8979657,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
23,1624480479.5503047,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
23,1624480481.3428597,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
23,1624480483.0553124,6,intento,akira,Mujer,22,error,The Royal Tutor,1
23,1624480484.4735174,6,intento,akira,Mujer,22,error,Sengoku Collection (Parallel World Samurai),1
23,1624480486.2607775,6,intento,akira,Mujer,22,error,The Royal Tutor,1
23,1624480488.0369244,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
23,1624480489.164664,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
23,1624480490.832039,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
23,1624480492.391924,6,intento,akira,Mujer,22,ok,We Rent Tsukumogami,1
23,1624480493.386171,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
23,1624480494.4647508,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
23,1624480496.465684,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
23,1624480498.0158608,6,intento,akira,Mujer,22,ok,Battle Girls - Time Paradox,1
23,1624480499.2885613,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
23,1624480501.0948918,6,intento,akira,Mujer,22,ok,Samurai Pizza Cats,1
23,1624480502.030918,6,intento,akira,Mujer,22,ok,Lord Marksman and Vanadis,1
23,1624480502.3325634,6,fin,akira,Mujer,22,finalizada,,1
24,1624480519.5203667,6,inicio_partida,akira,Mujer,22,,,1
24,1624480521.1380327,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
24,1624480523.0744524,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
24,1624480525.1038656,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
24,1624480527.2578952,6,intento,akira,Mujer,22,ok,Battle Girls - Time Paradox,1
24,1624480528.9890537,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
24,1624480530.4064605,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
24,1624480532.7423856,6,intento,akira,Mujer,22,ok,Samurai Pizza Cats,1
24,1624480534.3057425,6,intento,akira,Mujer,22,error,The Royal Tutor,1
24,1624480536.7899108,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
24,1624480539.0528188,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
24,1624480540.4017532,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
24,1624480542.550955,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
24,1624480544.4382799,6,intento,akira,Mujer,22,ok,We Rent Tsukumogami,1
24,1624480545.5121334,6,intento,akira,Mujer,22,ok,Lord Marksman and Vanadis,1
24,1624480545.8137774,6,fin,akira,Mujer,22,finalizada,,1
25,1624480556.5756485,6,inicio_partida,akira,Mujer,22,,,1
25,1624480558.3483899,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
25,1624480560.8415537,6,intento,akira,Mujer,22,ok,Battle Girls - Time Paradox,1
25,1624480562.3003492,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
25,1624480563.734397,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
25,1624480565.8138576,6,intento,akira,Mujer,22,ok,Lord Marksman and Vanadis,1
25,1624480566.9321322,6,intento,akira,Mujer,22,error,Sengoku Collection (Parallel World Samurai),1
25,1624480568.980046,6,intento,akira,Mujer,22,ok,Samurai Pizza Cats,1
25,1624480570.2712326,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
25,1624480572.6720698,6,intento,akira,Mujer,22,ok,We Rent Tsukumogami,1
25,1624480573.577605,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
25,1624480573.878902,6,fin,akira,Mujer,22,finalizada,,1
26,1624480589.4390604,6,inicio_partida,akira,Mujer,22,,,1
26,1624480591.4537547,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
26,1624480593.1555774,6,intento,akira,Mujer,22,error,Sengoku Collection (Parallel World Samurai),1
26,1624480594.9386814,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
